house_or_senate,sector_name,bill_id
S,Energy and Natural Resources,S. 289
S,Energy and Natural Resources,S. 282
S,Energy and Natural Resources,S. 312
S,Energy and Natural Resources,S. 490
S,Energy and Natural Resources,S. 485
S,Energy and Natural Resources,S. 383
S,Energy and Natural Resources,S. 136
S,Energy and Natural Resources,S. 145
S,Energy and Natural Resources,S. 62
S,Energy and Natural Resources,S. 22
S,Energy and Natural Resources,S. 334
S,Energy and Natural Resources,S. 521
S,Energy and Natural Resources,S. 401
S,Energy and Natural Resources,S. 468
S,Energy and Natural Resources,S. 335
S,Energy and Natural Resources,S. 190
S,Energy and Natural Resources,S. 357
S,Energy and Natural Resources,S. 509
S,Energy and Natural Resources,S. 467
S,Energy and Natural Resources,S. 286
S,Energy and Natural Resources,S. 280
S,Energy and Natural Resources,S. 267
S,Energy and Natural Resources,S. 213
S,Energy and Natural Resources,S. 217
S,Energy and Natural Resources,S. 226
S,Energy and Natural Resources,S. 199
S,Energy and Natural Resources,S. 167
S,Energy and Natural Resources,S. 135
S,Energy and Natural Resources,S. 49
S,Energy and Natural Resources,S. 501
S,Energy and Natural Resources,S. 507
S,Energy and Natural Resources,S. 508
S,Energy and Natural Resources,S. 513
S,Energy and Natural Resources,S. 481
S,Energy and Natural Resources,S. 483
S,Energy and Natural Resources,S. 432
S,Energy and Natural Resources,S. 436
S,Energy and Natural Resources,S. 400
S,Energy and Natural Resources,S. 257
S,Energy and Natural Resources,S. 32
S,Energy and Natural Resources,S. 414
S,Energy and Natural Resources,S. 131
S,Energy and Natural Resources,S. 70
S,Energy and Natural Resources,S. 391
S,Energy and Natural Resources,S. 390
S,Energy and Natural Resources,S. 239
S,Energy and Natural Resources,S. 31
S,Energy and Natural Resources,S. 79
S,Energy and Natural Resources,S. 90
S,Energy and Natural Resources,S. 132
S,Energy and Natural Resources,S. 33
S,Energy and Natural Resources,S.Res. 72
S,Energy and Natural Resources,S. 440
S,Energy and Natural Resources,S. 346
S,Energy and Natural Resources,S. 316
S,Energy and Natural Resources,S. 215
S,Energy and Natural Resources,S. 117
S,Energy and Natural Resources,S. 101
S,Energy and Natural Resources,S. 35
S,Energy and Natural Resources,S. 441
S,Energy and Natural Resources,S. 355
S,Energy and Natural Resources,S. 186
S,Energy and Natural Resources,S. 192
S,Energy and Natural Resources,S. 55
S,Environment and Public Works,H.R. 590
S,Environment and Public Works,S. 340
S,Environment and Public Works,S. 517
S,Environment and Public Works,S.Res. 12
S,Environment and Public Works,S. 518
S,Environment and Public Works,S. 512
S,Environment and Public Works,S. 125
S,Environment and Public Works,S. 478
S,Environment and Public Works,S. 164
S,Environment and Public Works,S. 273
S,Environment and Public Works,S. 453
S,Environment and Public Works,S. 452
S,Environment and Public Works,S. 454
S,Environment and Public Works,S. 519
S,Environment and Public Works,S. 368
S,Environment and Public Works,S. 451
S,Environment and Public Works,S. 279
S,Environment and Public Works,S. 398
S,Environment and Public Works,S. 195
S,Environment and Public Works,S. 60
S,Environment and Public Works,S. 263
S,Environment and Public Works,S. 203
S,Environment and Public Works,S.Res. 42
S,Environment and Public Works,S. 376
S,Environment and Public Works,S. 375
S,Environment and Public Works,S. 95
S,Environment and Public Works,S. 219
S,Environment and Public Works,S. 80
S,Environment and Public Works,S.J.Res. 28
S,Environment and Public Works,S.J.Res. 21
S,Finance,H.R. 7
S,Finance,S.Con.Res. 7
S,Finance,S. 497
S,Finance,S. 445
S,Finance,S. 439
S,Finance,S. 431
S,Finance,S. 243
S,Finance,S. 479
S,Finance,S. 464
S,Finance,S. 520
S,Finance,S. 476
S,Finance,S. 429
S,Finance,S. 309
S,Finance,S. 230
S,Finance,S. 222
S,Finance,S. 177
S,Finance,S. 176
S,Finance,S. 407
S,Finance,S. 428
S,Finance,S. 372
S,Finance,S. 503
S,Finance,S. 448
S,Finance,S. 455
S,Finance,S. 389
S,Finance,S. 337
S,Finance,S. 413
S,Finance,S. 251
S,Finance,S. 108
S,Finance,S. 234
S,Finance,S. 172
S,Finance,S. 144
S,Finance,S. 142
S,Finance,S. 25
S,Finance,S. 253
S,Finance,S. 344
S,Finance,S. 326
S,Finance,S. 157
S,Finance,S. 122
S,Finance,S. 486
S,Finance,S. 46
S,Finance,S. 405
S,Finance,S. 379
S,Finance,S. 175
S,Finance,S. 264
S,Finance,S. 143
S,Finance,S. 236
S,Finance,S. 293
S,Finance,S. 205
S,Finance,S. 492
S,Finance,S. 463
S,Finance,S. 393
S,Finance,S. 262
S,Finance,S. 353
S,Finance,S. 308
S,Finance,S. 268
S,Finance,S. 427
S,Finance,S. 359
S,Finance,S. 201
S,Finance,S. 191
S,Finance,S. 348
S,Finance,S. 85
S,Finance,S. 58
S,Finance,S. 397
S,Finance,S. 93
S,Finance,S. 156
S,Finance,S. 158
S,Finance,S. 148
S,Finance,S. 300
S,Finance,S. 252
S,Finance,S. 184
S,Finance,S. 247
S,Finance,S. 106
S,Finance,S. 59
S,Finance,S. 208
S,Finance,S. 48
S,Finance,S. 50
S,Finance,S. 43
S,Finance,S. 38
S,Finance,S. 18
S,Finance,S. 71
S,Finance,S. 109
S,Finance,S. 260
S,Finance,S. 20
S,Finance,S. 13
S,Finance,S. 356
S,Finance,S. 408
S,Finance,S. 384
S,Finance,S. 323
S,Finance,S. 290
S,Finance,S. 76
S,Finance,S. 40
S,Finance,S. 47
S,Finance,S. 28
S,Finance,S. 82
S,Finance,S. 284
S,Finance,S. 403
S,Finance,S. 505
S,Finance,S. 523
S,Finance,S. 524
S,Finance,S. 482
S,Foreign Relations,H.R. 601
S,Foreign Relations,H.R. 600
S,Foreign Relations,S.Res. 35
S,Foreign Relations,S.Res. 6
S,Foreign Relations,S.Res. 68
S,Foreign Relations,S.Res. 10
S,Foreign Relations,S.Res. 9
S,Foreign Relations,S.Res. 5
S,Foreign Relations,S.Res. 78
S,Foreign Relations,S.Res. 54
